# Current work path is /local/shared/Xihao/rna/work
# Action is figure4 with parameter 8_2_200
Encode	FitModel	FitWin	Model	ScanWin	Total	YKL185W	YLL028W	YMR171C	YMR202W	YNL283C	YOR247W	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	140	0.566152543424868	0.541297894104828	0.828629136171529	0.646922730651257	0.756357414068745	0.64218100469123	0.635572730875941	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	150	0.584141040119301	0.569280555778101	0.852835879890621	0.675033942723627	0.794884513634514	0.658780204812591	0.67756143273636	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	160	0.581678979639718	0.576915368336664	0.811414857008785	0.738204078177412	0.804830016583748	0.649147173901997	0.689853166776244	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	170	0.60598325744229	0.638155456031502	0.823127122310647	0.719904673752301	0.784563793831855	0.656336910713372	0.726553476553477	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	180	0.575861069211105	0.592275525685554	0.80494012765733	0.715044446583871	0.825298772609819	0.630399284965366	0.655743902439024	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	190	0.586188648797576	0.604881988140552	0.777426608121194	0.759591494304798	0.825428194993412	0.62691128850716	0.680018059855521	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	200	0.599691827857957	0.666000428176703	0.789455950252208	0.780777175735159	0.759688620071684	0.644424187442209	0.673516543614985	
SeqRatio	MixPoiLin	2	learn_domain_forest.R	10	0.493483660130719	0.486488572832113	0.517633374503855	0.499275596409308	0.551263362487852	0.467116615004046	0.481019427248478	
SeqRatio	MixPoiLin	2	learn_domain_forest.R	20	0.501172274578877	0.50769890905671	0.520952886145537	0.555670336373385	0.567646696252466	0.517199772514179	0.465218958370878	
SeqRatio	MixPoiLin	2	learn_domain_forest.R	30	0.534838467798718	0.530750324943873	0.649879398324909	0.679521026766733	0.630797464130797	0.49166009067137	0.447421471487298	
SeqRatio	MixPoiLin	2	learn_domain_forest.R	40	0.576423503659495	0.569610195258682	0.692756952399522	0.607863013426354	0.725630928184282	0.561593638530195	0.527143551129463	
SeqRatio	MixPoiLin	2	learn_domain_forest.R	50	0.567607435856998	0.499602445022803	0.718938772009361	0.379096620818475	0.654282765737874	0.59483448070379	0.503353338127109	
SeqRatio	MixPoiLin	2	learn_domain_forest.R	60	0.662790704918544	0.560732286866359	0.81876170411985	0.616326817465337	0.75979428721174	0.622321950141303	0.688341888098006	
SeqRatio	MixPoiLin	2	learn_domain_forest.R	70	0.677618762963591	0.560097232610322	0.820362536080176	0.650605996387232	0.79452875399361	0.69376003433531	0.726075128026071	
SeqRatio	MixPoiLin	2	learn_domain_forest.R	80	0.69324340890483	0.563075430511763	0.802325979720471	0.527180142620939	0.82514880952381	0.659761679924455	0.652804232804233	
SeqRatio	MixPoiLin	2	learn_domain_forest.R	90	0.695956968650142	0.536460390607856	0.805965264990668	0.43424795815362	0.865305280528053	0.76147077309868	0.680105661567576	
SeqRatio	MixPoiLin	2	learn_domain_forest.R	100	0.712180473426105	0.539519850881652	0.896131972086461	0.446818978506196	0.866167971662938	0.697499959428098	0.65328557312253	
SeqRatio	MixPoiLin	2	learn_domain_forest.R	110	0.715156357549067	0.488199533303312	0.84482949723218	0.508186248750683	0.842387182404247	0.765676837340045	0.768706955922865	
SeqRatio	MixPoiLin	2	learn_domain_forest.R	120	0.71499878175737	0.456217043178365	0.823530535809829	0.534015930725169	0.850465374228395	0.846853964021791	0.816038925932601	
SeqRatio	MixPoiLin	2	learn_domain_forest.R	130	0.646317510141512	0.350546665153407	0.81257767158213	0.483604594254058	0.821677463682764	0.761147209468083	0.823588290840416	
SeqRatio	MixPoiLin	2	learn_domain_forest.R	140	0.675488158466408	0.422774578042652	0.785891918358932	0.621996796583022	0.896532773780975	0.767617155545168	0.797681331747919	
SeqRatio	MixPoiLin	2	learn_domain_forest.R	150	0.704306110556111	0.454034713240933	0.877284125811594	0.606764337511709	0.9253663003663	0.873522339370092	0.757673885880883	
SeqRatio	MixPoiLin	2	learn_domain_forest.R	160	0.677662715061362	0.438714697508267	0.873447235329388	0.456784440705586	0.769278606965174	0.895530920239164	0.826517641902257	
SeqRatio	MixPoiLin	2	learn_domain_forest.R	170	0.665767920535098	0.387373071383864	0.870478413068845	0.381246475801389	0.767493134769751	0.802973945980993	0.833425733425734	
SeqRatio	MixPoiLin	2	learn_domain_forest.R	180	0.657811702334649	0.344535628753777	0.862837606161313	0.42291646609544	0.834786821705426	0.807176988260369	0.747341463414634	
SeqRatio	MixPoiLin	2	learn_domain_forest.R	190	0.698678513795411	0.367293301224786	0.913599551623045	0.451792455874286	0.854043148880105	0.798290879495749	0.874703302373581	
