# Current work path is /home/xhhu/tmp/web/public/work
# Action is figure6 with parameter 8_2_200
Encode	FitModel	FitWin	Model	ScanWin	Total	YKL185W	YLL028W	YMR171C	YMR202W	YNL283C	YOR247W	
SeqBinary-ProbVS	MixPoiLin	2	learn_domain_forest.R	110	0.755019012169125	0.764521584721824	0.740402885626338	0.871848371508351	0.788514410314751	0.718486982954453	0.879115013774105	
SeqBinary-ProbVS	MixPoiLin	2	learn_domain_forest.R	120	0.762070313897678	0.795780738232805	0.753899780886137	0.87683208518484	0.780394000771605	0.674521470070278	0.877311227248153	
SeqBinary-ProbVS	MixPoiLin	2	learn_domain_forest.R	130	0.761967766156028	0.792440185698613	0.757811999538775	0.874241146272635	0.787961327051433	0.670104758905336	0.87395656279509	
SeqBinary-ProbVS	MixPoiLin	2	learn_domain_forest.R	140	0.757637900000887	0.781537003268919	0.769571113802701	0.880630842833663	0.788956334932054	0.665591245262859	0.886355529131986	
SeqBinary-ProbVS	MixPoiLin	2	learn_domain_forest.R	150	0.761036608319217	0.784957881725476	0.77926110959916	0.896045804258365	0.77621336996337	0.645319410112832	0.885912119950021	
SeqBinary-ProbVS	MixPoiLin	2	learn_domain_forest.R	160	0.763148555604204	0.805272605089571	0.810339490080555	0.913373120430039	0.762969009121061	0.604536831585901	0.888877931185624	
SeqBinary-ProbVS	MixPoiLin	2	learn_domain_forest.R	170	0.761903324744504	0.815401279768597	0.823176287808268	0.92640941346696	0.780220215462611	0.576472896654098	0.906906906906907	
SeqBinary-ProbVS	MixPoiLin	2	learn_domain_forest.R	180	0.75962640605826	0.819299900944165	0.837879806931476	0.938860541488827	0.766392118863049	0.55342993176232	0.924621951219512	
SeqBinary-ProbVS	MixPoiLin	2	learn_domain_forest.R	190	0.764916755224938	0.860712991014785	0.857627051191914	0.928651328880428	0.780920619235837	0.528468025420354	0.90999742002064	
SeqBinary-ProbVS	MixPoiLin	2	learn_domain_forest.R	200	0.760312455382908	0.86860160164848	0.864055952921081	0.928219936623298	0.790798611111111	0.506053839041156	0.93381186765108	
SeqBinary-LogVS	MixPoiLin	2	learn_domain_forest.R	10	0.596764781008189	0.625041521439098	0.583933903325219	0.68177635507523	0.471483236151604	0.554543511124006	0.530902410790679	
SeqBinary-LogVS	MixPoiLin	2	learn_domain_forest.R	20	0.595822816606442	0.609160161760557	0.588535889955153	0.746834509016853	0.391241370808679	0.567169799720254	0.548985660221919	
