# Current work path is /home/xhhu/tmp/web/public/work
# Action is figure3 with parameter 8_40_20
Encode	FitModel	FitWin	Model	ScanWin	Total	YKL185W	YLL028W	YMR171C	YMR202W	YNL283C	YOR247W	
ProbVS	MixPoiLin	2	learn_domain_forest.R	40	0.703754052460949	0.688810632334077	0.640120402642034	0.863927730240601	0.772812923441734	0.651119955139488	0.814603405932043	
ProbVS	MixPoiLin	4	learn_domain_forest.R	40	0.658396346031044	0.663169271699368	0.552001328328743	0.824160480208302	0.72069783197832	0.499162759544541	0.847239089952231	
ProbVS	MixPoiLin	6	learn_domain_forest.R	40	0.662337287552805	0.703639127749537	0.557780777011382	0.84516462439005	0.65648289295393	0.534116575024533	0.8078630610207	
ProbVS	MixPoiLin	8	learn_domain_forest.R	40	0.653061603546517	0.681140434224904	0.550813144361305	0.814654701211453	0.680862550813009	0.556391065281391	0.805582543923569	
ProbVS	MixPoiLin	10	learn_domain_forest.R	40	0.651773719176736	0.681124994061476	0.520503790002193	0.823072259821313	0.686346121273713	0.555230611068708	0.799894745364748	
ProbVS	MixPoiLin	12	learn_domain_forest.R	40	0.676328869486197	0.707094161242814	0.529893489970509	0.848155988193554	0.677072747289973	0.562356890294241	0.803578657598575	
ProbVS	MixPoiLin	14	learn_domain_forest.R	40	0.681200034998526	0.697701791058958	0.55815398864218	0.845358417061705	0.623496781842819	0.688807458060094	0.796183844762907	
ProbVS	MixPoiLin	16	learn_domain_forest.R	40	0.681371727330779	0.691820276497696	0.565542055619196	0.791588404241575	0.610211297425475	0.696034984968613	0.813550859579521	
ProbVS	MixPoiLin	18	learn_domain_forest.R	40	0.698917731972689	0.703415839232267	0.679257354554096	0.785168400862626	0.569910230352304	0.760206545273291	0.807856313928697	
ProbVS	MixPoiLin	20	learn_domain_forest.R	40	0.697790948275862	0.694777661646634	0.695349630748982	0.767399103584668	0.582433519647696	0.763317964454275	0.81639138531293	
ProbVS	MPLComSam	2	learn_domain_forest.R	40	0.680914904460163	0.676554705686731	0.606596858319725	0.834073720719915	0.731506182249323	0.582096294334803	0.785111866785415	
ProbVS	MPLComSam	4	learn_domain_forest.R	40	0.641900450682778	0.630509762934106	0.513484364717639	0.798023314749113	0.715415396341463	0.466082026199785	0.808605241141068	
ProbVS	MPLComSam	6	learn_domain_forest.R	40	0.646409504248944	0.646801510760606	0.588454203124619	0.816130506941753	0.713361703929539	0.479326001962647	0.796379510431004	
ProbVS	MPLComSam	8	learn_domain_forest.R	40	0.649528517658906	0.645600741127844	0.532839576884643	0.783290102660426	0.657192157859079	0.589779435816757	0.809077537581302	
ProbVS	MPLComSam	10	learn_domain_forest.R	40	0.669150948030259	0.674138913962659	0.550604450510614	0.792587181857031	0.659817496612466	0.566157572547859	0.787135994386419	
ProbVS	MPLComSam	12	learn_domain_forest.R	40	0.705120376510463	0.682837664497126	0.568198713105365	0.76113314053447	0.641154302168022	0.720244863627159	0.768237389685046	
ProbVS	MPLComSam	14	learn_domain_forest.R	40	0.685941874815797	0.689795239678845	0.588970606156621	0.800150065094462	0.627847645663957	0.656575647595757	0.825871049577632	
ProbVS	MPLComSam	16	learn_domain_forest.R	40	0.689986123391296	0.688163333174973	0.603189207633625	0.756641125786351	0.610920562330624	0.687756039813704	0.794901897282271	
ProbVS	MPLComSam	18	learn_domain_forest.R	40	0.699075071839081	0.695527103425341	0.658217358453776	0.807066972759707	0.620066903794038	0.706985311297684	0.799469678568537	
ProbVS	MPLComSam	20	learn_domain_forest.R	40	0.69173520544749	0.689645588864079	0.662308976577543	0.7618536517496	0.620268038617886	0.69497967258057	0.806081828731817	
ProbVS	MPLComOpp	2	learn_domain_forest.R	40	0.611225163326456	0.623087795144663	0.545047405493675	0.632916927541417	0.661034891598916	0.525829841586317	0.755674304374814	
ProbVS	MPLComOpp	4	learn_domain_forest.R	40	0.616669276205914	0.606296023564065	0.540175851227181	0.863415918825716	0.663681402439024	0.452405800713407	0.832274039888808	
ProbVS	MPLComOpp	6	learn_domain_forest.R	40	0.613828946237351	0.582512233360255	0.584006129810622	0.734663049203462	0.686557842140922	0.4900193149426	0.828057107386716	
ProbVS	MPLComOpp	8	learn_domain_forest.R	40	0.675225341389134	0.617768064991211	0.592894659874723	0.849015632608847	0.671779725609756	0.732153148802941	0.778938277602353	
ProbVS	MPLComOpp	10	learn_domain_forest.R	40	0.629598468660969	0.543977148558126	0.601202807770114	0.715870129095734	0.755049542682927	0.585079206841228	0.719320972660783	
ProbVS	MPLComOpp	12	learn_domain_forest.R	40	0.657647868773946	0.599560549194736	0.56742639352653	0.677538932450831	0.570481876693767	0.499022570445022	0.738293795374194	
