# Current work path is /home/xhhu/tmp/web/public/work
# Action is figure5_permute_kim with parameter 8_2_200
Encode	FitModel	FitWin	Model	ScanWin	Total	fold_1	fold_2	fold_3	fold_4	fold_5	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	190	0.789145129567381	0.774729363467961	0.746695790816327	0.819846388888889	0.792756540214807	0.820215896316868	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	200	0.795203126500095	0.831435044241485	0.762269438794379	0.81060046243497	0.815137831629206	0.760506742777112	
ProbVS	MixPoiLin	2	learn_domain_forest.R	10	0.64092701098934	0.628836962641502	0.641163009495982	0.631504393571511	0.630873214054062	0.671111613047998	
ProbVS	MixPoiLin	2	learn_domain_forest.R	20	0.703713806428391	0.724865579502457	0.679846448825399	0.694827230498959	0.697952834716174	0.720170541258932	
ProbVS	MixPoiLin	2	learn_domain_forest.R	30	0.754187968147873	0.758755451976441	0.739355016484282	0.791081840899625	0.706726169563609	0.812635987954079	
ProbVS	MixPoiLin	2	learn_domain_forest.R	40	0.779872657509324	0.739708466369707	0.823693302925311	0.782374023083254	0.778421496539792	0.787427565963894	
ProbVS	MixPoiLin	2	learn_domain_forest.R	50	0.792682568277115	0.79006726660092	0.755711720710709	0.78667790939843	0.828944193164967	0.807206675421176	
ProbVS	MixPoiLin	2	learn_domain_forest.R	60	0.802695947688843	0.783992827126382	0.784419303387326	0.843696190708252	0.764384484102365	0.839891110256739	
ProbVS	MixPoiLin	2	learn_domain_forest.R	70	0.806544445283931	0.75472554413357	0.838226649286005	0.797635914646937	0.809071281433789	0.832258825200098	
ProbVS	MixPoiLin	2	learn_domain_forest.R	80	0.803161836362362	0.805030059535884	0.811778219734676	0.798048169190851	0.754123178244897	0.854278184791345	
ProbVS	MixPoiLin	2	learn_domain_forest.R	90	0.799981575012429	0.828806596352194	0.798282769793604	0.79886987794046	0.774264207061834	0.810816104115546	
ProbVS	MixPoiLin	2	learn_domain_forest.R	100	0.791171470522519	0.829915972511453	0.755486754059986	0.799334878071853	0.754526686880372	0.828939117421452	
ProbVS	MixPoiLin	2	learn_domain_forest.R	110	0.779891978980765	0.746604332048855	0.768996145745752	0.825177289405415	0.798632811847238	0.781411605986588	
ProbVS	MixPoiLin	2	learn_domain_forest.R	120	0.781475843396647	0.792080472089561	0.830833719008264	0.748760685586265	0.767324883285494	0.790235893269794	
ProbVS	MixPoiLin	2	learn_domain_forest.R	130	0.778108594189215	0.792527990937376	0.823488437982253	0.777174134160606	0.772767229008769	0.750781216915034	
ProbVS	MixPoiLin	2	learn_domain_forest.R	140	0.7721983784809	0.759607489835139	0.759331990078054	0.768839289855446	0.835379317482256	0.765016818620422	
ProbVS	MixPoiLin	2	learn_domain_forest.R	150	0.757181506569942	0.739581521160088	0.765987602460189	0.784068637175164	0.733781737773153	0.752684610980095	
ProbVS	MixPoiLin	2	learn_domain_forest.R	160	0.751414482890972	0.718489259038932	0.789506752676629	0.73091152050208	0.73400375856569	0.782447827391039	
ProbVS	MixPoiLin	2	learn_domain_forest.R	170	0.754500653492006	0.76234423828125	0.73245899784651	0.772628001734843	0.789414	0.763551194774813	
ProbVS	MixPoiLin	2	learn_domain_forest.R	180	0.743141705274312	0.751071341236132	0.773082153916072	0.767658953287197	0.797459964916252	0.750430923685931	
ProbVS	MixPoiLin	2	learn_domain_forest.R	190	0.733286963086316	0.682941716631556	0.7314375	0.71247	0.795354859436187	0.792794088474509	
ProbVS	MixPoiLin	2	learn_domain_forest.R	200	0.732531221120868	0.786526820844238	0.64045742418639	0.764131215922761	0.787328836538895	0.7167771010833	
PARS	MixPoiLin	2	learn_domain_forest.R	10	0.544244924391003	0.550160840092873	0.548722600438276	0.544325239912129	0.535788518378765	0.541031544272802	
PARS	MixPoiLin	2	learn_domain_forest.R	20	0.61142679144128	0.613753371575154	0.628316298186391	0.610206711456785	0.621738916874952	0.590898656768549	
PARS	MixPoiLin	2	learn_domain_forest.R	30	0.656885862519248	0.656002520012771	0.645228365736222	0.663577994713088	0.659169609837278	0.664549967982852	
PARS	MixPoiLin	2	learn_domain_forest.R	40	0.692656131227454	0.702389732078344	0.687409368010175	0.718351570412765	0.700621972318339	0.664383505870471	
